MeanInter,MeanComplex,BufferSize,DiscardRate,Util_Encoder,Util_Storage
0.00833333,200,20,0.342248,0.999938,0.987435
0.00833333,200,40,0.341464,0.999937,0.987434
0.00833333,200,60,0.342013,0.999941,0.987439
0.00833333,200,80,0.341113,0.999951,0.987449
0.00833333,200,100,0.342118,0.999922,0.98742
0.00833333,400,20,0.670804,1,0.987494
0.00833333,400,40,0.670816,1,0.987493
0.00833333,400,60,0.670605,0.999999,0.987494
0.00833333,400,80,0.670389,1,0.987495
0.00833333,400,100,0.671015,0.999999,0.987493
0.00416667,200,20,0.671158,1,0.987497
0.00416667,200,40,0.671374,1,0.987497
0.00416667,200,60,0.670791,0.999999,0.987497
0.00416667,200,80,0.670871,1,0.987497
0.00416667,200,100,0.671053,0.999999,0.987497
0.00416667,400,20,0.835215,1,0.987492
0.00416667,400,40,0.835654,1,0.987494
0.00416667,400,60,0.835378,1,0.987494
0.00416667,400,80,0.835423,0.999999,0.987491
0.00416667,400,100,0.835498,1,0.987495
